crime_id,datetime,date,time,hour,crime_type,crime_category,severity,address,latitude,longitude,district,police_service_area,incident_key,coordinates
31854453,2025-09-20T00:19:00Z,2025-09-19,20:19:00,20,Other Assaults,violent,medium,2600 BLOCK BENJAMIN FRANKLIN PKWY,39.96093,-75.175151,09,1,202509109245,
31860064,2025-09-20T00:18:00Z,2025-09-19,20:18:00,20,Vandalism/Criminal Mischief,property,low,5600 BLOCK HAZEL AVE,39.95239555,-75.23521685,18,2,202518051342,
31847977,2025-09-20T00:14:00Z,2025-09-19,20:14:00,20,Thefts,property,low,5800 BLOCK WOODLAND AVE,39.93126184,-75.22550898,12,3,202512084261,
31845454,2025-09-20T00:03:00Z,2025-09-19,20:03:00,20,Thefts,property,low,700 BLOCK N FRONT ST,39.96214711,-75.13871509,09,2,202509109243,
31857924,2025-09-20T00:01:00Z,2025-09-19,20:01:00,20,Other Assaults,violent,medium,6600 BLOCK N UBER ST,40.054845,-75.15076266,35,3,202535075115,
31866107,2025-09-19T23:58:00Z,2025-09-19,19:58:00,19,Motor Vehicle Theft,property,medium,3900 BLOCK M ST,40.00645362,-75.10016059,24,1,202524081284,
31866350,2025-09-19T23:55:00Z,2025-09-19,19:55:00,19,Motor Vehicle Theft,property,medium,1500 BLOCK W WESTMORELAND ST,40.00370039,-75.15509548,39,2,202539070839,
31848606,2025-09-19T23:53:00Z,2025-09-19,19:53:00,19,Thefts,property,low,1800 BLOCK LIACOURAS WALK,39.98078255,-75.15608345,22,1,202522070988,
31856589,2025-09-19T23:53:00Z,2025-09-19,19:53:00,19,Narcotic / Drug Law Violations,drug,low,600 BLOCK N 11TH ST,39.96290552,-75.15610517,09,2,202509109230,
31846550,2025-09-19T23:50:00Z,2025-09-19,19:50:00,19,Thefts,property,low,Address Unavailable,39.956226,-75.207046,08,1,202508045250,
31861876,2025-09-19T23:46:00Z,2025-09-19,19:46:00,19,Vandalism/Criminal Mischief,property,low,1400 BLOCK N 25TH ST,39.97760802,-75.17622782,22,4,202522071037,
31849579,2025-09-19T23:42:00Z,2025-09-19,19:42:00,19,Thefts,property,low,700 BLOCK ADAMS AVE,40.03217549,-75.10709041,02,2,202502049537,
31847345,2025-09-19T23:42:00Z,2025-09-19,19:42:00,19,Thefts,property,low,5300 BLOCK CHEW AVE,40.04173226,-75.158712,14,1,202514075222,
31851871,2025-09-19T23:42:00Z,2025-09-19,19:42:00,19,Other Assaults,violent,medium,1200 BLOCK LOCUST ST,39.9478236,-75.16173474,09,4,202509109223,
31849419,2025-09-19T23:39:00Z,2025-09-19,19:39:00,19,Thefts,property,low,2800 BLOCK FOX ST,40.00963469,-75.17580691,39,2,202539070829,
31839558,2025-09-19T23:38:00Z,2025-09-19,19:38:00,19,Burglary Residential,property,medium,900 BLOCK ANCHOR ST,40.03317136,-75.08832629,02,1,202502049539,
31858520,2025-09-19T23:37:00Z,2025-09-19,19:37:00,19,Fraud,other,low,2800 BLOCK N 28TH ST,39.9995679,-75.17607491,39,3,202539070828,
31860035,2025-09-19T23:31:00Z,2025-09-19,19:31:00,19,Offenses Against Family And Children,other,low,5600 BLOCK GERMANTOWN AVE,40.03571574,-75.17389229,14,2,202514075210,
31851863,2025-09-19T23:29:00Z,2025-09-19,19:29:00,19,Other Assaults,violent,medium,1800 BLOCK Rittenhouse Sq,39.94853716,-75.1710872,09,3,202509109210,
